trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
50,False,"{'a': 0.1, 'e': 0.9999999999999991}",20,0,-117.04345509166792,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",1
51,False,"{'a': 0.1, 'e': 0.9799999999999991}",25,0,-303.3772527475548,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 6}",0
52,False,"{'a': 0.1, 'e': 0.9599999999999991}",30,0,-130.1629141869576,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
53,False,"{'a': 0.1, 'e': 0.9399999999999991}",25,0,-139.3829864747074,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
54,False,"{'a': 0.1, 'e': 0.919999999999999}",25,16,-15.193467621577664,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.899999999999999}",30,0,-243.53254068049668,"{0: 15, 1: 0, 2: 10, 3: 2, 4: 3}",0
56,False,"{'a': 0.1, 'e': 0.879999999999999}",25,0,-169.56691989420278,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.1, 'e': 0.859999999999999}",25,5,-58.60017977852025,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.839999999999999}",20,0,-49.735611170433216,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.819999999999999}",30,14,-46.659459137847605,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.7999999999999989}",30,0,-125.48816394571307,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
61,False,"{'a': 0.1, 'e': 0.7799999999999989}",35,26,7.167157825540961,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.7599999999999989}",25,12,-65.92787130794785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
63,False,"{'a': 0.1, 'e': 0.7399999999999989}",20,0,-107.97837284611914,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.7199999999999989}",30,0,-149.4722222810933,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
65,False,"{'a': 0.1, 'e': 0.6999999999999988}",30,10,-16.578359867675786,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.6799999999999988}",20,9,-0.3573672930221692,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.6599999999999988}",25,6,-34.972986332650784,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.1, 'e': 0.6399999999999988}",25,6,-18.082200737431886,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.6199999999999988}",25,0,-16.796858023513707,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.5999999999999988}",25,0,14.067278047548463,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
