trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.45}",35,0,-166.25664797311833,"{0: 22, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.4}",20,0,-84.62928416242478,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.35000000000000003}",30,0,-114.03800962075282,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.30000000000000004}",20,0,-154.67637686145216,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.25000000000000006}",25,0,-72.57211886218323,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.20000000000000007}",25,0,-44.10015607485077,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.15000000000000008}",20,16,6.787247722618547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.10000000000000007}",25,14,6.57955026468966,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.05000000000000007}",20,0,-67.80464576477942,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 6.938893903907228e-17}",25,0,-23.87722856377743,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.1, 'e': -0.04999999999999993}",20,0,1.561726321112014,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': -0.09999999999999994}",25,6,29.216259010933378,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': -0.14999999999999994}",25,0,-27.39098269258629,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': -0.19999999999999996}",30,7,33.184591387698774,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': -0.24999999999999994}",25,0,20.023662377725387,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
