trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 4.95}",30,0,-250.6654241045418,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
2,False,"{'a': 0.1, 'e': 4.9}",30,0,-119.24260660618364,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 4.8500000000000005}",30,0,-149.53170278150384,"{0: 14, 1: 7, 2: 5, 3: 4, 4: 0}",0
4,False,"{'a': 0.1, 'e': 4.800000000000001}",20,0,-182.1949610023285,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 3}",0
5,False,"{'a': 0.1, 'e': 4.750000000000001}",25,0,-85.321731548059,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 4.700000000000001}",30,0,-43.69932532774854,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 4.650000000000001}",25,0,-196.54843040161515,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
8,False,"{'a': 0.1, 'e': 4.600000000000001}",25,0,-68.96918502432086,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.1, 'e': 4.550000000000002}",25,0,-47.14535362171773,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 4.500000000000002}",20,0,-160.69366715839737,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 4.450000000000002}",20,7,-96.43250257562113,"{0: 5, 1: 3, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.1, 'e': 4.400000000000002}",20,0,-121.52042265165717,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 4.350000000000002}",20,0,-134.33347590890696,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 4.3000000000000025}",30,14,-29.06403776767651,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.1, 'e': 4.250000000000003}",20,0,-78.63131976467417,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 4.200000000000003}",20,1,-83.18149260883527,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 4.150000000000003}",30,0,-157.1947300072065,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.1, 'e': 4.100000000000003}",25,0,-99.24400750752599,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 4.050000000000003}",20,0,-132.37029626661788,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.1, 'e': 4.0000000000000036}",25,3,-174.69619196428127,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 2}",1
21,False,"{'a': 0.1, 'e': 3.9500000000000037}",25,0,-108.22222642042428,"{0: 13, 1: 6, 2: 3, 3: 3, 4: 0}",0
22,False,"{'a': 0.1, 'e': 3.900000000000004}",30,0,-153.77383311315026,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
23,False,"{'a': 0.1, 'e': 3.850000000000004}",25,0,-208.0789798648051,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
24,False,"{'a': 0.1, 'e': 3.8000000000000043}",20,0,-126.15421536187931,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.1, 'e': 3.7500000000000044}",20,0,-115.53873911173064,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.1, 'e': 3.7000000000000046}",20,0,-160.32728111796865,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.1, 'e': 3.650000000000005}",20,0,-100.8015397846722,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.1, 'e': 3.600000000000005}",30,0,-245.55305314781214,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
29,False,"{'a': 0.1, 'e': 3.550000000000005}",25,0,-141.32274238425236,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
30,False,"{'a': 0.1, 'e': 3.5000000000000053}",20,0,-161.46937591661637,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 0.1, 'e': 3.4500000000000055}",20,0,-143.76677723538123,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
32,False,"{'a': 0.1, 'e': 3.4000000000000057}",20,0,-65.30744118036436,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 3.350000000000006}",20,0,-170.3193083084942,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
34,False,"{'a': 0.1, 'e': 3.300000000000006}",35,0,-309.27812245464116,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 5}",0
35,False,"{'a': 0.1, 'e': 3.250000000000006}",20,0,-144.70126635785448,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.1, 'e': 3.2000000000000064}",20,0,-77.49219646610493,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
37,False,"{'a': 0.1, 'e': 3.1500000000000066}",20,0,-105.99674904249316,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",1
38,False,"{'a': 0.1, 'e': 3.1000000000000068}",20,0,-194.3403729095676,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
39,False,"{'a': 0.1, 'e': 3.050000000000007}",25,0,-95.49287550953613,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.1, 'e': 3.000000000000007}",25,0,-236.0758509648364,"{0: 12, 1: 5, 2: 2, 3: 2, 4: 4}",0
41,False,"{'a': 0.1, 'e': 2.9500000000000073}",35,0,-261.19940653428705,"{0: 20, 1: 3, 2: 6, 3: 2, 4: 4}",0
42,False,"{'a': 0.1, 'e': 2.9000000000000075}",20,0,-82.97981811425531,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.1, 'e': 2.8500000000000076}",25,0,-192.96814519753786,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
44,False,"{'a': 0.1, 'e': 2.800000000000008}",20,0,-86.09555499779083,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.1, 'e': 2.750000000000008}",20,0,-96.73875804655424,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.1, 'e': 2.700000000000008}",30,0,-140.05024092660634,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
