trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 4.95}",20,0,-92.18662304213467,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 4.9}",25,0,-107.46303302354615,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.1, 'e': 4.8500000000000005}",30,0,-166.60803981656076,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
4,False,"{'a': 0.1, 'e': 4.800000000000001}",25,0,-129.93399063112366,"{0: 13, 1: 1, 2: 8, 3: 3, 4: 0}",0
5,False,"{'a': 0.1, 'e': 4.750000000000001}",20,0,-116.77310890564718,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 4.700000000000001}",25,0,-100.71557056407158,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 4.650000000000001}",20,0,-41.618228925927546,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 4.600000000000001}",25,0,-120.73351805054781,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 4.550000000000002}",25,1,-128.1222766232149,"{0: 8, 1: 7, 2: 8, 3: 1, 4: 0}",1
10,False,"{'a': 0.1, 'e': 4.500000000000002}",30,0,-28.40601068121022,"{0: 23, 1: 5, 2: 1, 3: 1, 4: 0}",0
11,False,"{'a': 0.1, 'e': 4.450000000000002}",25,0,-83.41362384272688,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 4.400000000000002}",20,0,-88.17651214195466,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 4.350000000000002}",25,0,-114.05443982432399,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.1, 'e': 4.3000000000000025}",20,0,-136.53849541905265,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.1, 'e': 4.250000000000003}",25,0,-178.70928584727505,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.1, 'e': 4.200000000000003}",35,0,-224.6786683058162,"{0: 19, 1: 6, 2: 6, 3: 0, 4: 4}",0
17,False,"{'a': 0.1, 'e': 4.150000000000003}",20,0,-113.28937004665146,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 4.100000000000003}",20,0,-77.43434727457411,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 4.050000000000003}",30,0,-286.09221052386454,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 5}",0
20,False,"{'a': 0.1, 'e': 4.0000000000000036}",35,0,-222.80142579228718,"{0: 20, 1: 5, 2: 4, 3: 3, 4: 3}",0
21,False,"{'a': 0.1, 'e': 3.9500000000000037}",30,0,-234.78126007196363,"{0: 14, 1: 4, 2: 7, 3: 2, 4: 3}",0
22,False,"{'a': 0.1, 'e': 3.900000000000004}",30,0,-171.83132862584532,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.1, 'e': 3.850000000000004}",25,0,-193.6313644592488,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
24,False,"{'a': 0.1, 'e': 3.8000000000000043}",25,0,-207.45316592507845,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
25,False,"{'a': 0.1, 'e': 3.7500000000000044}",20,0,-90.20296021832104,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
26,False,"{'a': 0.1, 'e': 3.7000000000000046}",20,0,-176.96506942957072,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
27,False,"{'a': 0.1, 'e': 3.650000000000005}",20,0,-96.67244538291276,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 3.600000000000005}",25,0,-200.1287501540108,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
29,False,"{'a': 0.1, 'e': 3.550000000000005}",25,15,1.770540380299756,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 3.5000000000000053}",25,0,-109.2824968350815,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.1, 'e': 3.4500000000000055}",20,0,-44.27427475744337,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
