trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-71.16330168408162,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-142.76527877229472,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-179.221798733136,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-58.865589346847564,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-74.40452876871595,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-164.0375851922936,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-237.35790493654093,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,1.5341290744063998,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-107.39547084932006,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-31.133137086262096,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-14.957584025789611,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-1.5064651624818646,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-22.576470592126206,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,13,20.92041392519328,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-2.631694440118606,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,7.304563497102222,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-9.517851421677449,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-29.243332105613224,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,36.613093930085604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,13.47636050613327,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': -0.05000000000000032}",25,4,21.094310475660663,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': -0.10000000000000032}",20,8,-22.98463266117211,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': -0.15000000000000033}",20,11,18.336585470728323,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': -0.20000000000000034}",25,7,28.07671601049931,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': -0.25000000000000033}",20,1,-36.59740009790266,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': -0.3000000000000003}",30,11,-14.161563124529321,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': -0.3500000000000003}",20,10,-22.184503302342023,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': -0.4000000000000003}",20,8,17.105894151531324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': -0.4500000000000003}",25,15,18.22118205599731,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,8.864287261137783,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': -0.5500000000000004}",30,4,-11.9208026556164,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': -0.6000000000000004}",35,17,33.0747744530725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': -0.6500000000000005}",20,4,25.632841337366315,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': -0.7000000000000005}",25,11,18.580274805686177,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': -0.7500000000000006}",20,11,-21.42718240047283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': -0.8000000000000006}",20,14,11.115524887217317,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': -0.8500000000000006}",25,18,13.64837362694135,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': -0.9000000000000007}",25,0,37.428496422458146,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': -0.9500000000000007}",35,21,-17.270521769814046,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': -1.0000000000000007}",35,1,3.7428201830108923,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': -1.0500000000000007}",30,20,16.174983961874005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': -1.1000000000000008}",25,13,18.89999241288097,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': -1.1500000000000008}",25,14,10.874831902158492,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': -1.2000000000000008}",25,7,28.82233963938741,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': -1.2500000000000009}",25,16,17.936329845540453,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': -1.300000000000001}",30,19,21.490061019683043,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': -1.350000000000001}",25,19,11.681991002864194,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': -1.400000000000001}",20,1,29.507543865120073,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': -1.450000000000001}",20,6,20.321581834576325,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': -1.500000000000001}",30,0,44.789710652956,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': -1.5500000000000012}",20,12,-25.578811712600647,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': -1.6000000000000012}",20,8,19.850170609549004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': -1.6500000000000012}",30,18,17.236779192488413,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': -1.7000000000000013}",20,2,21.442643173575437,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': -1.7500000000000013}",20,13,14.668219650484325,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': -1.8000000000000014}",25,0,33.518290733812215,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': -1.8500000000000014}",30,3,15.445818966691089,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': -1.9000000000000015}",20,0,27.253617735752687,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': -1.9500000000000015}",25,0,15.47979377071924,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': -2.0000000000000013}",25,0,-12.454799712794072,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,11,27.73995478129127,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,25.997224167823223,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,23.569273300498363,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,29.243452559635458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,19,10.539778416424255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,19.91541912073659,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,27.8262547861161,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,20,24.886996617554093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,0,43.30611572876646,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,30.14659138029285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
