trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.45}",30,0,-176.95926203024422,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.4}",25,15,-8.290161853062022,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.35000000000000003}",25,19,7.151960049471727,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.30000000000000004}",20,0,-68.85317376683467,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.25000000000000006}",20,9,-72.93162319064452,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.20000000000000007}",25,0,-89.80667082816498,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.15000000000000008}",25,0,-112.38098686018026,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.10000000000000007}",20,5,-2.6250800552173486,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.05000000000000007}",20,0,6.202054282517777,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 6.938893903907228e-17}",25,0,-48.340725161746555,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': -0.04999999999999993}",30,0,-50.87640701497429,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': -0.09999999999999994}",20,0,0.10792965290214851,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': -0.14999999999999994}",20,5,14.037608536278869,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': -0.19999999999999996}",25,8,24.586269584641435,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': -0.24999999999999994}",20,0,-8.531197529971278,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': -0.29999999999999993}",20,0,11.427764997802582,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': -0.3499999999999999}",30,13,18.885489394088825,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': -0.3999999999999999}",20,5,25.155304903882566,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -0.4499999999999999}",25,14,20.005356797042854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -0.4999999999999999}",30,0,44.5254409907444,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,12,16.688300880223093,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,21.538605341264294,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,8,-7.837966863866248,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",35,0,57.78539970160944,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,26.706951623962407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,26.77488211620128,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,1.9580155725797976,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,31.23318641375588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,28.701534496213583,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,11.801233090324335,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
